"subject" "age" "gender" "order" "block" "trial_num" "condition" "compatibility" "target" "cue_nocue" "button_pressed" "rt" "ac"
1 24 2 1 0 1 1 2 2 1 2 7236 0
1 24 2 1 0 2 1 1 2 1 1 1510 1
1 24 2 1 0 3 3 4 2 1 1 812 1
1 24 2 1 0 4 1 1 1 1 2 1663 1
1 24 2 1 0 5 1 1 1 1 2 680 1
1 24 2 1 0 6 1 2 2 1 1 744 1
1 24 2 1 0 7 1 2 1 1 2 774 1
1 24 2 1 0 8 1 2 2 1 1 594 1
1 24 2 1 0 9 3 4 1 1 2 717 1
1 24 2 1 0 10 1 2 1 1 2 1580 1
1 24 2 1 1 1 1 2 2 1 1 792 1
1 24 2 1 1 2 1 1 2 1 1 636 1
1 24 2 1 1 3 1 2 2 1 1 566 1
1 24 2 1 1 4 1 2 1 1 2 698 1
1 24 2 1 1 5 1 1 2 1 1 649 1
1 24 2 1 1 6 1 1 2 1 1 627 1
1 24 2 1 1 7 1 2 2 1 1 485 1
1 24 2 1 1 8 1 1 2 1 1 509 1
1 24 2 1 1 9 1 1 2 1 1 627 1
1 24 2 1 1 10 1 1 2 1 1 582 1
1 24 2 1 1 11 3 4 2 1 1 506 1
1 24 2 1 1 12 3 4 2 1 1 625 1
1 24 2 1 1 13 1 1 2 1 1 523 1
1 24 2 1 1 14 1 2 2 1 1 545 1
1 24 2 1 1 15 1 1 2 1 1 687 1
1 24 2 1 1 16 3 4 2 1 1 543 1
1 24 2 1 1 17 1 1 1 1 2 580 1
1 24 2 1 1 18 3 4 2 1 1 417 1
1 24 2 1 1 19 1 1 2 1 1 579 1
1 24 2 1 1 20 1 2 1 1 2 623 1
1 24 2 1 1 21 1 1 1 1 2 1233 1
1 24 2 1 1 22 1 1 2 1 1 619 1
1 24 2 1 1 23 1 1 1 1 2 766 1
1 24 2 1 1 24 3 4 2 1 1 570 1
1 24 2 1 1 25 1 2 1 1 2 599 1
1 24 2 1 1 26 1 1 2 1 1 650 1
1 24 2 1 1 27 1 1 2 1 1 515 1
1 24 2 1 1 28 3 4 1 1 2 554 1
1 24 2 1 1 29 3 4 2 1 1 359 1
1 24 2 1 1 30 1 2 1 1 2 900 1
1 24 2 1 1 31 3 4 1 1 2 1043 1
1 24 2 1 1 32 1 2 2 1 1 596 1
1 24 2 1 1 33 3 4 1 1 2 648 1
1 24 2 1 1 34 1 2 1 1 2 745 1
1 24 2 1 1 35 3 4 1 1 2 719 1
1 24 2 1 1 36 1 1 1 1 2 526 1
1 24 2 1 1 37 3 4 1 1 2 524 1
1 24 2 1 1 38 3 4 2 1 1 578 1
1 24 2 1 1 39 3 4 1 1 2 550 1
1 24 2 1 1 40 1 1 1 1 2 643 1
1 24 2 1 1 41 1 2 1 1 2 637 1
1 24 2 1 1 42 1 2 1 1 2 959 1
1 24 2 1 1 43 3 4 2 1 1 595 1
1 24 2 1 1 44 1 1 2 1 1 559 1
1 24 2 1 1 45 1 2 2 1 1 468 1
1 24 2 1 1 46 1 2 1 1 2 628 1
1 24 2 1 1 47 1 2 1 1 2 639 1
1 24 2 1 1 48 1 2 2 1 1 536 1
1 24 2 1 1 49 1 1 1 1 2 622 1
1 24 2 1 1 50 1 1 1 1 2 545 1
1 24 2 1 1 51 3 4 1 1 1 390 0
1 24 2 1 1 52 3 4 2 1 2 506 0
1 24 2 1 1 53 1 2 1 1 2 601 1
1 24 2 1 1 54 1 2 2 1 1 596 1
1 24 2 1 1 55 1 2 1 1 2 600 1
1 24 2 1 1 56 3 4 1 1 2 651 1
1 24 2 1 1 57 3 4 2 1 1 580 1
1 24 2 1 1 58 1 1 2 1 1 584 1
1 24 2 1 1 59 1 1 2 1 1 556 1
1 24 2 1 1 60 1 2 2 1 1 561 1
1 24 2 1 2 1 3 4 1 1 2 1247 1
1 24 2 1 2 2 1 1 1 1 2 1184 1
1 24 2 1 2 3 1 1 2 1 1 612 1
1 24 2 1 2 4 3 4 2 1 1 607 1
1 24 2 1 2 5 1 1 2 1 1 522 1
1 24 2 1 2 6 1 1 2 1 1 464 1
1 24 2 1 2 7 3 4 1 1 2 649 1
1 24 2 1 2 8 1 2 1 1 2 602 1
1 24 2 1 2 9 1 1 2 1 1 621 1
1 24 2 1 2 10 3 4 2 1 1 488 1
1 24 2 1 2 11 1 1 2 1 1 760 1
1 24 2 1 2 12 3 4 1 1 2 589 1
1 24 2 1 2 13 1 1 2 1 1 640 1
1 24 2 1 2 14 3 4 2 1 1 530 1
1 24 2 1 2 15 3 4 1 1 2 400 1
1 24 2 1 2 16 1 2 1 1 2 483 1
1 24 2 1 2 17 3 4 2 1 1 571 1
1 24 2 1 2 18 1 1 2 1 1 616 1
1 24 2 1 2 19 1 1 2 1 1 586 1
1 24 2 1 2 20 1 2 1 1 2 606 1
1 24 2 1 2 21 1 1 2 1 1 577 1
1 24 2 1 2 22 1 2 1 1 2 477 1
1 24 2 1 2 23 3 4 2 1 1 565 1
1 24 2 1 2 24 1 2 1 1 2 898 1
1 24 2 1 2 25 1 2 1 1 2 561 1
1 24 2 1 2 26 1 2 2 1 1 566 1
1 24 2 1 2 27 3 4 1 1 2 555 1
1 24 2 1 2 28 1 2 2 1 1 400 1
1 24 2 1 2 29 1 1 2 1 1 555 1
1 24 2 1 2 30 1 1 1 1 2 640 1
1 24 2 1 2 31 3 4 1 1 2 450 1
1 24 2 1 2 32 3 4 1 1 2 667 1
1 24 2 1 2 33 1 2 2 1 1 540 1
1 24 2 1 2 34 1 1 2 1 1 538 1
1 24 2 1 2 35 1 2 2 1 1 455 1
1 24 2 1 2 36 1 1 2 1 1 537 1
1 24 2 1 2 37 1 2 2 1 1 470 1
1 24 2 1 2 38 1 2 1 1 2 575 1
1 24 2 1 2 39 3 4 1 1 2 691 1
1 24 2 1 2 40 1 2 2 1 1 683 1
1 24 2 1 2 41 3 4 2 1 1 611 1
1 24 2 1 2 42 1 2 2 1 1 549 1
1 24 2 1 2 43 3 4 1 1 2 427 1
1 24 2 1 2 44 1 1 1 1 2 525 1
1 24 2 1 2 45 1 1 2 1 1 531 1
1 24 2 1 2 46 3 4 1 1 2 601 1
1 24 2 1 2 47 3 4 1 1 2 572 1
1 24 2 1 2 48 1 1 2 1 1 737 1
1 24 2 1 2 49 3 4 1 1 2 471 1
1 24 2 1 2 50 1 2 1 1 2 679 1
1 24 2 1 2 51 3 4 2 1 1 632 1
1 24 2 1 2 52 1 1 1 1 2 553 1
1 24 2 1 2 53 1 2 2 1 1 615 1
1 24 2 1 2 54 3 4 1 1 2 569 1
1 24 2 1 2 55 1 2 1 1 2 518 1
1 24 2 1 2 56 3 4 2 1 1 620 1
1 24 2 1 2 57 3 4 2 1 1 615 1
1 24 2 1 2 58 3 4 1 1 2 577 1
1 24 2 1 2 59 1 2 2 1 1 598 1
1 24 2 1 2 60 1 1 2 1 1 465 1
1 24 2 1 3 1 3 4 2 1 1 572 1
1 24 2 1 3 2 3 4 2 1 1 481 1
1 24 2 1 3 3 1 1 1 1 2 505 1
1 24 2 1 3 4 1 2 1 1 1 424 0
1 24 2 1 3 5 1 1 1 1 2 714 1
1 24 2 1 3 6 1 2 1 1 2 529 1
1 24 2 1 3 7 1 1 1 1 2 591 1
1 24 2 1 3 8 1 2 2 1 1 635 1
1 24 2 1 3 9 1 1 2 1 1 757 1
1 24 2 1 3 10 1 1 2 1 1 618 1
1 24 2 1 3 11 3 4 1 1 2 652 1
1 24 2 1 3 12 1 2 2 1 1 741 1
1 24 2 1 3 13 1 1 1 1 2 1379 1
1 24 2 1 3 14 3 4 1 1 2 735 1
1 24 2 1 3 15 1 1 2 1 1 565 1
1 24 2 1 3 16 1 1 2 1 1 913 1
1 24 2 1 3 17 1 1 2 1 1 528 1
1 24 2 1 3 18 3 4 1 1 2 630 1
1 24 2 1 3 19 1 2 1 1 2 609 1
1 24 2 1 3 20 1 1 2 1 1 547 1
1 24 2 1 3 21 1 1 1 1 2 529 1
1 24 2 1 3 22 1 1 2 1 1 551 1
1 24 2 1 3 23 1 2 1 1 2 492 1
1 24 2 1 3 24 1 1 2 1 1 604 1
1 24 2 1 3 25 3 4 1 1 2 1135 1
1 24 2 1 3 26 1 2 1 1 2 549 1
1 24 2 1 3 27 1 1 1 1 2 554 1
1 24 2 1 3 28 1 1 1 1 2 495 1
1 24 2 1 3 29 1 1 2 1 1 495 1
1 24 2 1 3 30 1 1 1 1 2 582 1
1 24 2 1 3 31 1 2 1 1 2 434 1
1 24 2 1 3 32 1 2 1 1 2 708 1
1 24 2 1 3 33 1 1 1 1 2 499 1
1 24 2 1 3 34 1 2 2 1 1 570 1
1 24 2 1 3 35 1 2 2 1 1 567 1
1 24 2 1 3 36 1 2 2 1 1 827 1
1 24 2 1 3 37 1 2 2 1 1 525 1
1 24 2 1 3 38 3 4 1 1 2 572 1
1 24 2 1 3 39 1 2 1 1 2 456 1
1 24 2 1 3 40 3 4 2 1 1 529 1
1 24 2 1 3 41 1 2 1 1 2 528 1
1 24 2 1 3 42 3 4 1 1 2 574 1
1 24 2 1 3 43 1 1 1 1 2 586 1
1 24 2 1 3 44 1 1 2 1 1 590 1
1 24 2 1 3 45 1 2 2 1 1 585 1
1 24 2 1 3 46 1 1 1 1 2 501 1
1 24 2 1 3 47 1 1 2 1 1 468 1
1 24 2 1 3 48 3 4 1 1 2 429 1
1 24 2 1 3 49 1 1 2 1 1 663 1
1 24 2 1 3 50 1 2 2 1 1 528 1
1 24 2 1 3 51 1 1 1 1 2 558 1
1 24 2 1 3 52 3 4 1 1 2 627 1
1 24 2 1 3 53 1 1 1 1 2 565 1
1 24 2 1 3 54 3 4 2 1 1 562 1
1 24 2 1 3 55 1 2 2 1 1 663 1
1 24 2 1 3 56 1 1 1 1 2 511 1
1 24 2 1 3 57 1 2 2 1 1 630 1
1 24 2 1 3 58 1 2 1 1 2 577 1
1 24 2 1 3 59 3 4 2 1 1 525 1
1 24 2 1 3 60 1 2 2 1 1 563 1
1 24 2 1 0 1 1 2 1 2 2 1303 1
1 24 2 1 0 2 3 4 2 2 1 582 1
1 24 2 1 0 3 3 4 2 2 1 561 1
1 24 2 1 0 4 1 2 2 2 1 790 1
1 24 2 1 0 5 3 4 1 2 2 626 1
1 24 2 1 0 6 3 4 1 2 2 636 1
1 24 2 1 0 7 3 4 1 2 2 542 1
1 24 2 1 0 8 1 1 2 2 1 620 1
1 24 2 1 0 9 1 2 2 2 1 1134 1
1 24 2 1 0 10 1 2 1 2 2 1388 1
1 24 2 1 1 1 1 2 1 2 2 889 1
1 24 2 1 1 2 3 4 2 2 1 529 1
1 24 2 1 1 3 1 1 1 2 2 663 1
1 24 2 1 1 4 3 4 1 2 2 592 1
1 24 2 1 1 5 3 4 2 2 1 612 1
1 24 2 1 1 6 1 1 2 2 1 727 1
1 24 2 1 1 7 3 4 2 2 1 597 1
1 24 2 1 1 8 3 4 1 2 2 456 1
1 24 2 1 1 9 1 1 2 2 1 585 1
1 24 2 1 1 10 3 4 1 2 2 621 1
1 24 2 1 1 11 3 4 2 2 1 600 1
1 24 2 1 1 12 1 1 2 2 1 723 1
1 24 2 1 1 13 1 1 1 2 2 618 1
1 24 2 1 1 14 1 1 2 2 1 764 1
1 24 2 1 1 15 1 2 2 2 1 681 1
1 24 2 1 1 16 1 1 1 2 2 513 1
1 24 2 1 1 17 1 1 2 2 1 640 1
1 24 2 1 1 18 3 4 1 2 2 633 1
1 24 2 1 1 19 1 2 2 2 1 739 1
1 24 2 1 1 20 3 4 1 2 2 481 1
1 24 2 1 1 21 1 2 2 2 1 569 1
1 24 2 1 1 22 1 2 1 2 2 566 1
1 24 2 1 1 23 1 1 1 2 2 642 1
1 24 2 1 1 24 1 2 2 2 1 628 1
1 24 2 1 1 25 3 4 1 2 2 486 1
1 24 2 1 1 26 3 4 2 2 1 542 1
1 24 2 1 1 27 1 2 1 2 2 524 1
1 24 2 1 1 28 3 4 1 2 2 754 1
1 24 2 1 1 29 3 4 1 2 2 559 1
1 24 2 1 1 30 3 4 2 2 1 532 1
1 24 2 1 1 31 1 1 1 2 2 682 1
1 24 2 1 1 32 1 2 1 2 2 666 1
1 24 2 1 1 33 1 2 2 2 1 658 1
1 24 2 1 1 34 1 1 1 2 2 739 1
1 24 2 1 1 35 1 1 2 2 1 617 1
1 24 2 1 1 36 1 1 1 2 2 707 1
1 24 2 1 1 37 1 2 2 2 1 698 1
1 24 2 1 1 38 3 4 1 2 2 546 1
1 24 2 1 1 39 1 1 2 2 1 735 1
1 24 2 1 1 40 3 4 1 2 2 589 1
1 24 2 1 1 41 1 2 1 2 2 657 1
1 24 2 1 1 42 3 4 2 2 1 538 1
1 24 2 1 1 43 1 1 1 2 2 648 1
1 24 2 1 1 44 3 4 2 2 1 617 1
1 24 2 1 1 45 3 4 1 2 2 516 1
1 24 2 1 1 46 3 4 1 2 2 650 1
1 24 2 1 1 47 3 4 1 2 2 587 1
1 24 2 1 1 48 3 4 2 2 1 631 1
1 24 2 1 1 49 1 1 1 2 2 641 1
1 24 2 1 1 50 1 1 2 2 1 587 1
1 24 2 1 1 51 1 1 2 2 1 631 1
1 24 2 1 1 52 3 4 2 2 1 545 1
1 24 2 1 1 53 1 1 2 2 1 550 1
1 24 2 1 1 54 1 2 1 2 2 708 1
1 24 2 1 1 55 1 1 2 2 1 523 1
1 24 2 1 1 56 1 1 1 2 2 577 1
1 24 2 1 1 57 1 1 2 2 1 597 1
1 24 2 1 1 58 1 2 2 2 1 689 1
1 24 2 1 1 59 3 4 1 2 2 569 1
1 24 2 1 1 60 1 1 1 2 2 749 1
1 24 2 1 2 1 3 4 1 2 2 636 1
1 24 2 1 2 2 1 1 1 2 2 606 1
1 24 2 1 2 3 3 4 1 2 2 625 1
1 24 2 1 2 4 3 4 1 2 2 619 1
1 24 2 1 2 5 1 2 2 2 1 534 1
1 24 2 1 2 6 1 2 2 2 1 724 1
1 24 2 1 2 7 1 1 2 2 1 538 1
1 24 2 1 2 8 1 2 2 2 1 544 1
1 24 2 1 2 9 1 1 2 2 1 693 1
1 24 2 1 2 10 1 1 1 2 2 557 1
1 24 2 1 2 11 1 1 1 2 2 778 1
1 24 2 1 2 12 1 2 1 2 2 782 1
1 24 2 1 2 13 3 4 2 2 1 554 1
1 24 2 1 2 14 1 1 1 2 2 607 1
1 24 2 1 2 15 1 1 1 2 2 706 1
1 24 2 1 2 16 3 4 1 2 2 585 1
1 24 2 1 2 17 3 4 1 2 2 597 1
1 24 2 1 2 18 1 2 2 2 1 752 1
1 24 2 1 2 19 3 4 1 2 2 445 1
1 24 2 1 2 20 1 2 1 2 2 735 1
1 24 2 1 2 21 3 4 2 2 1 573 1
1 24 2 1 2 22 1 2 1 2 2 769 1
1 24 2 1 2 23 1 1 2 2 1 614 1
1 24 2 1 2 24 1 2 1 2 2 497 1
1 24 2 1 2 25 1 2 1 2 2 608 1
1 24 2 1 2 26 1 2 1 2 2 667 1
1 24 2 1 2 27 1 1 1 2 2 548 1
1 24 2 1 2 28 3 4 1 2 2 465 1
1 24 2 1 2 29 1 1 1 2 2 570 1
1 24 2 1 2 30 1 2 2 2 1 582 1
1 24 2 1 2 31 3 4 2 2 1 538 1
1 24 2 1 2 32 3 4 1 2 2 480 1
1 24 2 1 2 33 1 1 2 2 1 624 1
1 24 2 1 2 34 1 1 2 2 1 538 1
1 24 2 1 2 35 1 2 1 2 2 680 1
1 24 2 1 2 36 3 4 2 2 1 640 1
1 24 2 1 2 37 1 2 1 2 2 578 1
1 24 2 1 2 38 3 4 2 2 1 550 1
1 24 2 1 2 39 3 4 1 2 2 537 1
1 24 2 1 2 40 1 2 2 2 1 825 1
1 24 2 1 2 41 1 1 1 2 2 451 1
1 24 2 1 2 42 1 2 2 2 1 756 1
1 24 2 1 2 43 1 1 2 2 1 529 1
1 24 2 1 2 44 1 1 1 2 2 503 1
1 24 2 1 2 45 1 1 2 2 1 463 1
1 24 2 1 2 46 1 2 1 2 2 672 1
1 24 2 1 2 47 1 2 1 2 2 584 1
1 24 2 1 2 48 3 4 1 2 2 524 1
1 24 2 1 2 49 1 2 2 2 1 450 1
1 24 2 1 2 50 1 1 1 2 2 443 1
1 24 2 1 2 51 1 1 2 2 1 573 1
1 24 2 1 2 52 1 1 1 2 2 505 1
1 24 2 1 2 53 1 1 1 2 2 408 1
1 24 2 1 2 54 1 2 1 2 1 427 0
1 24 2 1 2 55 3 4 2 2 1 590 1
1 24 2 1 2 56 1 2 1 2 2 546 1
1 24 2 1 2 57 3 4 2 2 1 503 1
1 24 2 1 2 58 3 4 2 2 1 582 1
1 24 2 1 2 59 1 2 1 2 2 578 1
1 24 2 1 2 60 1 1 1 2 2 638 1
1 24 2 1 3 1 1 1 2 2 1 605 1
1 24 2 1 3 2 1 2 2 2 1 576 1
1 24 2 1 3 3 1 1 1 2 2 588 1
1 24 2 1 3 4 1 2 2 2 1 552 1
1 24 2 1 3 5 3 4 2 2 1 605 1
1 24 2 1 3 6 1 1 1 2 2 825 1
1 24 2 1 3 7 1 1 1 2 2 587 1
1 24 2 1 3 8 1 2 2 2 1 486 1
1 24 2 1 3 9 1 2 1 2 2 750 1
1 24 2 1 3 10 1 1 1 2 2 612 1
1 24 2 1 3 11 1 2 2 2 1 774 1
1 24 2 1 3 12 1 2 1 2 2 523 1
1 24 2 1 3 13 1 1 1 2 2 537 1
1 24 2 1 3 14 1 2 2 2 1 463 1
1 24 2 1 3 15 1 1 1 2 2 520 1
1 24 2 1 3 16 3 4 1 2 2 462 1
1 24 2 1 3 17 3 4 2 2 1 455 1
1 24 2 1 3 18 1 1 2 2 1 545 1
1 24 2 1 3 19 1 1 1 2 2 718 1
1 24 2 1 3 20 1 2 2 2 1 653 1
1 24 2 1 3 21 3 4 2 2 1 478 1
1 24 2 1 3 22 1 1 2 2 1 582 1
1 24 2 1 3 23 3 4 1 2 2 610 1
1 24 2 1 3 24 3 4 1 2 2 661 1
1 24 2 1 3 25 1 2 2 2 1 622 1
1 24 2 1 3 26 1 1 1 2 2 928 1
1 24 2 1 3 27 3 4 2 2 1 622 1
1 24 2 1 3 28 1 2 2 2 1 865 1
1 24 2 1 3 29 1 2 2 2 1 682 1
1 24 2 1 3 30 3 4 1 2 2 633 1
1 24 2 1 3 31 3 4 2 2 1 643 1
1 24 2 1 3 32 1 1 1 2 2 757 1
1 24 2 1 3 33 1 2 1 2 2 698 1
1 24 2 1 3 34 3 4 1 2 2 617 1
1 24 2 1 3 35 1 1 1 2 2 580 1
1 24 2 1 3 36 1 2 2 2 1 568 1
1 24 2 1 3 37 3 4 2 2 1 660 1
1 24 2 1 3 38 1 1 1 2 2 693 1
1 24 2 1 3 39 3 4 1 2 2 637 1
1 24 2 1 3 40 3 4 1 2 2 615 1
1 24 2 1 3 41 1 2 1 2 2 825 1
1 24 2 1 3 42 3 4 2 2 1 564 1
1 24 2 1 3 43 3 4 2 2 1 433 1
1 24 2 1 3 44 3 4 2 2 1 554 1
1 24 2 1 3 45 3 4 2 2 1 456 1
1 24 2 1 3 46 1 1 2 2 1 609 1
1 24 2 1 3 47 1 1 1 2 2 540 1
1 24 2 1 3 48 1 1 2 2 1 546 1
1 24 2 1 3 49 3 4 1 2 1 415 0
1 24 2 1 3 50 1 2 1 2 2 1034 1
1 24 2 1 3 51 1 1 2 2 1 531 1
1 24 2 1 3 52 1 1 2 2 1 658 1
1 24 2 1 3 53 3 4 2 2 1 1002 1
1 24 2 1 3 54 3 4 2 2 1 590 1
