"subject" "age" "gender" "order" "mdvc1" "mdvc2" "mdvc3" "mdvc4" "mdvc5" "mdvc6" "sdvc1" "sdvc2" "sdvc3" "sdvc4" "sdvc5" "sdvc6" "meddvc1" "meddvc2" "meddvc3" "meddvc4" "meddvc5" "meddvc6" "t1dvc1" "t1dvc2" "t1dvc3" "t1dvc4" "t1dvc5" "t1dvc6" "t1.5dvc1" "t1.5dvc2" "t1.5dvc3" "t1.5dvc4" "t1.5dvc5" "t1.5dvc6" "t2dvc1" "t2dvc2" "t2dvc3" "t2dvc4" "t2dvc5" "t2dvc6" "n1tr1" "n1tr2" "n1tr3" "n1tr4" "n1tr5" "n1tr6" "n1.5tr1" "n1.5tr2" "n1.5tr3" "n1.5tr4" "n1.5tr5" "n1.5tr6" "n2tr1" "n2tr2" "n2tr3" "n2tr4" "n2tr5" "n2tr6" "ndvc1" "ndvc2" "ndvc3" "ndvc4" "ndvc5" "ndvc6" "p1tr1" "p1tr2" "p1tr3" "p1tr4" "p1tr5" "p1tr6" "p1.5tr1" "p1.5tr2" "p1.5tr3" "p1.5tr4" "p1.5tr5" "p1.5tr6" "p2tr1" "p2tr2" "p2tr3" "p2tr4" "p2tr5" "p2tr6" "rminv1" "rminv2" "rminv3" "rminv4" "rminv5" "rminv6" "p0.05dvc1" "p0.05dvc2" "p0.05dvc3" "p0.05dvc4" "p0.05dvc5" "p0.05dvc6" "p0.25dvc1" "p0.25dvc2" "p0.25dvc3" "p0.25dvc4" "p0.25dvc5" "p0.25dvc6" "p0.75dvc1" "p0.75dvc2" "p0.75dvc3" "p0.75dvc4" "p0.75dvc5" "p0.75dvc6" "p0.95dvc1" "p0.95dvc2" "p0.95dvc3" "p0.95dvc4" "p0.95dvc5" "p0.95dvc6" "mdvd1" "mdvd2" "mdvd3" "mdvd4" "mdvd5" "mdvd6" "merr1" "merr2" "merr3" "merr4" "merr5" "merr6" "mrmc1" "mrmc2" "mrmc3" "mrmc4" "mrmc5" "mrmc6" "pmrmc1" "pmrmc2" "pmrmc3" "pmrmc4" "pmrmc5" "pmrmc6" "nmrmc1" "nmrmc2" "nmrmc3" "nmrmc4" "nmrmc5" "nmrmc6" "tmrmc1" "tmrmc2" "tmrmc3" "tmrmc4" "tmrmc5" "tmrmc6"
1 24 2 1 617 599 600 624 660 573 162 112 156 113 117 85 580 581 573 608 666 582 582 590 585 610 656 584 582 577 571 616 650 565 587 577 567 611 652 563 4 16 8 14 13 16 4 6 4 6 5 3 3 4 3 2 1 2 67 58 52 66 49 63 0.06 0.276 0.154 0.212 0.265 0.254 0.06 0.103 0.077 0.091 0.102 0.048 0.045 0.069 0.058 0.03 0.02 0.032 591 581 571 606 640 562 495 456 422 473 490 456 530 531 530 546 569 526 632 634 628 687 735 618 869 838 874 774 849 659 1 0.983 0.963 1 0.98 0.984 0 0.017 0.037 0 0.02 0.016 582 590 562 611 647 564 5.97 1.695 5.556 3.03 2 1.562 4 1 3 2 1 1 67 59 54 66 50 64
2 27 2 2 662 630 616 658 713 633 192 154 176 162 176 162 607 600 587 609 684 602 623 608 584 619 656 610 619 603 582 615 670 606 619 604 583 620 688 611 17 11 8 13 10 9 5 5 5 6 6 3 5 3 3 5 2 2 63 54 53 62 46 63 0.27 0.204 0.151 0.21 0.217 0.143 0.079 0.093 0.094 0.097 0.13 0.048 0.079 0.056 0.057 0.081 0.043 0.032 621 598 579 628 678 604 458 423 445 485 540 445 552 544 502 561 599 546 698 662 671 698 746 673 1053 948 956 1075 1044 845 0.969 0.915 0.946 1 0.902 0.94 0.031 0.085 0.054 0 0.098 0.06 645 601 579 658 725 606 1.538 3.39 5.357 0 1.961 2.985 1 2 3 0 1 2 65 59 56 62 51 67
3 22 2 1 467 476 486 490 549 487 70 61 73 71 103 73 459 488 483 483 544 478 466 477 481 486 547 484 464 480 477 481 535 472 458 473 477 487 536 472 16 18 16 20 21 15 8 8 10 7 7 4 3 1 3 1 3 4 61 52 57 52 63 49 0.262 0.346 0.281 0.385 0.333 0.306 0.131 0.154 0.175 0.135 0.111 0.082 0.049 0.019 0.053 0.019 0.048 0.082 458 468 476 480 531 477 357 382 374 389 403 395 427 429 436 430 480 433 502 525 514 555 598 528 600 564 632 600 726 652 0.91 0.963 0.966 0.881 0.94 0.907 0.09 0.037 0.034 0.119 0.06 0.093 463 477 486 489 550 484 1.493 0 0 0 0 0 1 0 0 0 0 0 67 54 59 59 67 54
4 23 2 2 489 463 454 589 672 541 76 54 59 168 195 89 484 462 445 549 619 520 486 462 450 552 635 526 478 461 448 560 631 524 478 459 450 565 644 529 13 23 19 8 16 14 2 12 6 3 5 6 2 2 1 2 3 3 49 71 60 54 63 56 0.265 0.324 0.317 0.148 0.254 0.25 0.041 0.169 0.1 0.056 0.079 0.107 0.041 0.028 0.017 0.037 0.048 0.054 479 457 448 557 629 528 399 378 387 424 446 430 447 424 408 502 560 482 526 496 486 643 744 593 591 554 546 818 1045 717 1 1 1 0.982 0.94 0.982 0 0 0 0.018 0.06 0.018 481 463 450 571 657 543 2.041 0 1.667 3.636 2.941 0 1 0 1 2 2 0 49 71 60 55 68 57
5 24 2 1 586 627 569 657 757 591 142 136 133 176 215 126 538 583 529 605 687 549 550 600 531 594 716 552 549 594 538 614 712 555 554 594 548 626 728 573 14 10 10 15 10 16 6 5 5 6 4 9 5 5 3 4 2 3 61 60 57 65 55 59 0.23 0.167 0.175 0.231 0.182 0.271 0.098 0.083 0.088 0.092 0.073 0.153 0.082 0.083 0.053 0.062 0.036 0.051 559 604 546 621 711 568 437 485 443 496 533 454 493 544 487 533 617 508 645 672 602 705 818 636 895 912 828 1010 1124 807 1 0.968 1 1 0.982 1 0 0.032 0 0 0.018 0 586 613 559 639 727 591 0 1.613 1.754 3.077 3.571 0 0 1 1 2 2 0 61 62 57 65 56 59
6 24 1 2 479 528 473 506 602 479 61 105 71 88 117 80 479 516 454 481 595 470 480 521 459 485 585 468 470 509 459 487 577 463 473 515 464 493 585 470 16 17 17 8 17 16 7 4 5 4 5 5 2 2 3 2 3 2 57 62 60 53 56 68 0.281 0.274 0.283 0.151 0.304 0.235 0.123 0.065 0.083 0.075 0.089 0.074 0.035 0.032 0.05 0.038 0.054 0.029 472 510 464 494 581 468 405 414 390 426 445 388 433 444 420 457 514 418 513 570 514 533 654 513 589 688 595 651 830 619 1 1 0.984 1 0.966 0.986 0 0 0.016 0 0.034 0.014 479 515 468 493 600 472 0 3.226 1.639 3.774 0 2.899 0 2 1 2 0 2 57 62 61 53 58 69
7 25 1 1 458 467 479 476 501 454 93 94 105 96 103 81 439 461 472 480 500 458 447 465 472 472 500 465 439 457 470 468 496 459 443 459 471 475 496 456 21 21 14 18 20 20 7 6 7 6 7 6 4 2 1 2 1 3 58 53 53 57 48 58 0.362 0.396 0.264 0.316 0.417 0.345 0.121 0.113 0.132 0.105 0.146 0.103 0.069 0.038 0.019 0.035 0.021 0.052 441 448 457 457 479 438 347 329 322 340 344 320 391 381 414 388 434 392 525 540 526 544 578 508 654 630 647 643 657 566 0.935 0.883 0.93 0.95 0.889 0.879 0.065 0.117 0.07 0.05 0.111 0.121 453 467 466 473 495 445 1.587 0 1.754 0 0 0 1 0 1 0 0 0 63 60 57 60 54 66
8 29 2 1 662 676 642 678 675 577 140 152 112 229 132 137 645 643 636 594 646 552 644 658 630 629 662 552 640 638 629 635 657 542 645 650 629 650 658 557 15 17 13 10 12 12 5 8 4 4 6 7 2 4 2 2 2 3 57 61 60 61 46 70 0.263 0.279 0.217 0.164 0.261 0.171 0.088 0.131 0.067 0.066 0.13 0.1 0.035 0.066 0.033 0.033 0.043 0.043 636 646 625 627 652 553 473 485 507 465 506 434 574 571 573 536 585 493 734 750 697 781 761 602 880 997 790 1055 885 811 0.983 0.984 1 0.984 0.958 1 0.017 0.016 0 0.016 0.042 0 656 680 629 655 665 562 1.724 0 3.333 1.613 2.083 2.857 1 0 2 1 1 2 58 62 60 62 48 70
9 25 1 2 427 445 420 444 485 426 76 62 66 67 72 58 406 428 403 427 484 417 412 435 405 426 486 421 411 429 408 425 486 418 417 439 408 434 481 426 5 16 8 17 15 15 4 6 3 8 7 5 2 2 3 4 1 2 57 52 59 73 46 45 0.088 0.308 0.136 0.233 0.326 0.333 0.07 0.115 0.051 0.11 0.152 0.111 0.035 0.038 0.051 0.055 0.022 0.044 418 437 412 435 475 418 362 373 358 375 371 344 388 395 384 396 438 393 442 478 435 464 531 457 549 561 500 592 612 532 0.983 0.881 0.937 0.961 0.868 0.882 0.017 0.119 0.063 0.039 0.132 0.118 411 441 408 445 480 424 6.897 0 4.762 1.316 1.887 0 4 0 3 1 1 0 58 59 63 76 53 51
10 31 1 2 437 452 421 468 497 448 71 109 53 78 85 85 426 428 409 456 475 444 421 434 412 454 484 440 425 433 409 452 479 437 427 436 413 458 490 437 16 6 13 13 13 6 4 3 6 4 4 2 3 2 3 2 1 2 67 62 45 49 49 68 0.239 0.097 0.289 0.265 0.265 0.088 0.06 0.048 0.133 0.082 0.082 0.029 0.045 0.032 0.067 0.041 0.02 0.029 427 436 415 457 485 437 359 357 350 375 400 365 380 394 383 412 440 400 466 480 442 502 545 484 544 571 529 611 638 528 0.944 1 0.957 0.942 0.845 0.971 0.056 0 0.043 0.058 0.155 0.029 434 433 420 463 488 436 1.408 4.839 0 1.923 1.724 2.857 1 3 0 1 1 2 71 62 47 52 58 70
